msa_title,msa,pop
"Casper, WY Metro Area; Wyoming",16220,79735
"Cheyenne, WY Metro Area; Wyoming",16940,100661
"Cody, WY Micro Area; Wyoming",17650,30109
"Evanston, WY-UT Micro Area (part); Wyoming",21740,20605
"Gillette, WY Micro Area; Wyoming",23940,47018
"Jackson, WY-ID Micro Area (part); Wyoming",27220,23358
"Laramie, WY Micro Area; Wyoming",29660,37713
"Riverton, WY Micro Area; Wyoming",40180,39472
"Rock Springs, WY Micro Area; Wyoming",40540,41786
"Sheridan, WY Micro Area; Wyoming",43260,31585
"Aguadilla, PR Metro Area; Puerto Rico",10380,252430
"Arecibo, PR Metro Area; Puerto Rico",11640,181380
"Coamo, PR Micro Area; Puerto Rico",17620,54358
"Coco, PR Micro Area; Puerto Rico",17640,25397
"Guayama, PR Metro Area; Puerto Rico",25020,67171
"Lares, PR Micro Area; Puerto Rico",29720,27944
"Mayagüez, PR Metro Area; Puerto Rico",32420,211487
"Ponce, PR Metro Area; Puerto Rico",38660,273739
"San Juan-Bayamón-Caguas, PR Metro Area; Puerto Rico",41980,2063795
"Utuado, PR Micro Area; Puerto Rico",46580,27896
