msa_title,msa,pop
"Ottawa, IL Micro Area; Illinois",36837,147676
"Paducah, KY-IL Metro Area (part); Illinois",37140,13958
"Peoria, IL Metro Area; Illinois",37900,365773
"Pontiac, IL Micro Area; Illinois",38700,35659
"Quincy, IL-MO Micro Area (part); Illinois",39500,65166
"Rochelle, IL Micro Area; Illinois",40300,51536
"Rockford, IL Metro Area; Illinois",40420,336605
"St. Louis, MO-IL Metro Area (part); Illinois",41180,678211
"Springfield, IL Metro Area; Illinois",44100,207386
"Sterling, IL Micro Area; Illinois",44580,55192
"Taylorville, IL Micro Area; Illinois",45380,33684
"Angola, IN Micro Area; Indiana",11420,34648
"Auburn, IN Micro Area; Indiana",12140,43584
"Bedford, IN Micro Area; Indiana",13260,45077
"Bloomington, IN Metro Area; Indiana",14020,161256
"Chicago-Naperville-Elgin, IL-IN Metro Area (part); Indiana",16980,720197
"Cincinnati, OH-KY-IN Metro Area (part); Indiana",17140,79750
"Columbus, IN Metro Area; Indiana",18020,82881
"Connersville, IN Micro Area; Indiana",18220,23390
"Crawfordsville, IN Micro Area; Indiana",18820,38155
"Decatur, IN Micro Area; Indiana",19540,35995
"Elkhart-Goshen, IN Metro Area; Indiana",21140,206868
"Evansville, IN Metro Area; Indiana",21780,269721
"Fort Wayne, IN Metro Area; Indiana",23060,451440
"Frankfort, IN Micro Area; Indiana",23140,32967
"Greencastle, IN Micro Area; Indiana",24600,37091
"Greensburg, IN Micro Area; Indiana",24700,26411
"Huntington, IN Micro Area; Indiana",26540,36757
"Indianapolis-Carmel-Greenwood, IN Metro Area; Indiana",26900,2106327
"Jasper, IN Micro Area; Indiana",27540,43563
"Kendallville, IN Micro Area; Indiana",28340,47417
"Kokomo, IN Metro Area; Indiana",29020,83610
"Lafayette-West Lafayette, IN Metro Area; Indiana",29200,225019
"Logansport, IN Micro Area; Indiana",30900,37703
"Louisville/Jefferson County, KY-IN Metro Area (part); Indiana",31140,271264
"Madison, IN Micro Area; Indiana",31500,33074
"Marion, IN Micro Area; Indiana",31980,66377
"Michigan City-La Porte, IN Metro Area; Indiana",33140,112141
"Monticello, IN Micro Area; Indiana",33900,24709
"Muncie, IN Metro Area; Indiana",34620,112109
"New Castle, IN Micro Area; Indiana",35220,48896
"Peru, IN Micro Area; Indiana",37940,35772
"Plymouth, IN Micro Area; Indiana",38500,46225
"Richmond, IN Micro Area; Indiana",39980,66377
"Seymour, IN Micro Area; Indiana",42980,46319
"South Bend-Mishawaka, IN-MI Metro Area (part); Indiana",43780,272574
"Terre Haute, IN Metro Area; Indiana",45460,168850
"Vincennes, IN Micro Area; Indiana",47180,36108
"Wabash, IN Micro Area; Indiana",47340,30901
"Warsaw, IN Micro Area; Indiana",47700,80357
"Washington, IN Micro Area; Indiana",47780,33442
"Ames, IA Metro Area; Iowa",11180,125261
"Burlington, IA-IL Micro Area (part); Iowa",15460,38597
"Carroll, IA Micro Area; Iowa",16140,20677
"Cedar Rapids, IA Metro Area; Iowa",16300,275960
"Clinton, IA Micro Area; Iowa",17540,46383
"Davenport-Moline-Rock Island, IA-IL Metro Area (part); Iowa",19340,174302
"Des Moines-West Des Moines, IA Metro Area; Iowa",19780,720331
"Dubuque, IA Metro Area; Iowa",20220,98948
"Fort Dodge, IA Micro Area; Iowa",22700,36848
"Fort Madison, IA Micro Area; Iowa",22800,33175
"Iowa City, IA Metro Area; Iowa",26980,177420
"Le Mars, IA Micro Area; Iowa",30180,25699
"Marshalltown, IA Micro Area; Iowa",32260,39971
"Mason City, IA Micro Area; Iowa",32380,50165
"Muscatine, IA Micro Area; Iowa",34700,42735
"Omaha, NE-IA Metro Area (part); Iowa",36540,122615
"Oskaloosa, IA Micro Area; Iowa",36820,22045
"Ottumwa, IA Micro Area; Iowa",36900,35265
"Pella, IA Micro Area; Iowa",37800,33551
"Sioux City, IA-NE-SD Metro Area (part); Iowa",43580,105760
"Spencer, IA Micro Area; Iowa",43980,16446
"Spirit Lake, IA Micro Area; Iowa",44020,17844
"Storm Lake, IA Micro Area; Iowa",44740,20684
"Waterloo-Cedar Falls, IA Metro Area; Iowa",47940,168163
"Arkansas City-Winfield, KS Micro Area; Kansas",11680,34487
"Atchison, KS Micro Area; Kansas",11860,16211
"Dodge City, KS Micro Area; Kansas",19980,34133
"Emporia, KS Micro Area; Kansas",21380,34724
"Garden City, KS Micro Area; Kansas",23780,38001
"Great Bend, KS Micro Area; Kansas",24460,25275
"Hays, KS Micro Area; Kansas",25700,28870
"Hutchinson, KS Micro Area; Kansas",26740,61693
"Joplin, MO-KS Metro Area (part); Kansas",27900,19236
"Kansas City, MO-KS Metro Area (part); Kansas",28140,908882
"Lawrence, KS Metro Area; Kansas",29940,119547
"Liberal, KS Micro Area; Kansas",30580,21640
"Manhattan, KS Metro Area; Kansas",31740,133413
"McPherson, KS Micro Area; Kansas",32700,30130
"Ottawa, KS Micro Area; Kansas",36840,25994
"Pittsburg, KS Micro Area; Kansas",38260,38963
