,cbsacode,countyfips,msa,pop
411,38900,41067,38900,2472774
412,38900,41071,38900,2472774
413,38300,42003,38300,2324447
414,38300,42005,38300,2324447
415,38300,42007,38300,2324447
416,37980,42017,37980,6092403
417,38300,42019,38300,2324447
418,10900,42025,10900,841265
419,37980,42029,37980,6092403
420,25420,42041,25420,574691
421,25420,42043,25420,574691
422,37980,42045,37980,6092403
423,38300,42051,38300,2324447
424,42540,42069,42540,554787
425,10900,42077,10900,841265
426,42540,42079,42540,554787
427,37980,42091,37980,6092403
428,10900,42095,10900,841265
429,25420,42099,25420,574691
430,37980,42101,37980,6092403
431,35620,42103,35620,19261570
432,38300,42125,38300,2324447
433,38300,42129,38300,2324447
434,42540,42131,42540,554787
435,39300,44001,39300,1621099
436,39300,44003,39300,1621099
437,39300,44005,39300,1621099
438,39300,44007,39300,1621099
439,39300,44009,39300,1621099
440,12260,45003,12260,605303
441,24860,45007,24860,908680
442,16700,45015,16700,790955
443,17900,45017,17900,832925
444,16700,45019,16700,790955
445,16740,45023,16740,2595027
446,16700,45035,16700,790955
447,12260,45037,12260,605303
448,17900,45039,17900,832925
449,24860,45045,24860,908680
450,17900,45055,17900,832925
451,16740,45057,16740,2595027
452,24860,45059,24860,908680
453,17900,45063,17900,832925
454,24860,45077,24860,908680
455,17900,45079,17900,832925
456,17900,45081,17900,832925
457,16740,45091,16740,2595027
458,28940,47001,28940,861872
459,28940,47009,28940,861872
460,28940,47013,28940,861872
461,34980,47015,34980,1904186
462,34980,47021,34980,1904186
463,34980,47037,34980,1904186
464,34980,47043,34980,1904186
465,32820,47047,32820,1343150
466,28940,47057,28940,861872
467,16860,47065,16860,561055
468,34980,47081,34980,1904186
469,28940,47093,28940,861872
470,28940,47105,28940,861872
471,34980,47111,34980,1904186
472,16860,47115,16860,561055
473,34980,47119,34980,1904186
474,28940,47129,28940,861872
475,28940,47145,28940,861872
476,34980,47147,34980,1904186
477,34980,47149,34980,1904186
478,16860,47153,16860,561055
479,32820,47157,32820,1343150
480,34980,47159,34980,1904186
481,34980,47165,34980,1904186
482,32820,47167,32820,1343150
483,34980,47169,34980,1904186
484,28940,47173,28940,861872
485,34980,47187,34980,1904186
486,34980,47189,34980,1904186
487,41700,48013,41700,2510211
488,26420,48015,26420,6979613
489,41700,48019,41700,2510211
490,12420,48021,12420,2173804
491,41700,48029,41700,2510211
492,26420,48039,26420,6979613
493,12420,48055,12420,2173804
494,26420,48071,26420,6979613
495,19100,48085,19100,7451858
496,41700,48091,41700,2510211
497,19100,48113,19100,7451858
498,19100,48121,19100,7451858
499,19100,48139,19100,7451858
500,21340,48141,21340,841602
501,26420,48157,26420,6979613
502,26420,48167,26420,6979613
503,41700,48187,41700,2510211
504,26420,48201,26420,6979613
505,12420,48209,12420,2173804
506,32580,48215,32580,861137
507,19100,48221,19100,7451858
508,21340,48229,21340,841602
509,19100,48231,19100,7451858
510,19100,48251,19100,7451858
511,19100,48257,19100,7451858
512,41700,48259,41700,2510211
513,26420,48291,26420,6979613
514,41700,48325,41700,2510211
515,26420,48339,26420,6979613
516,19100,48367,19100,7451858
517,19100,48397,19100,7451858
518,19100,48425,19100,7451858
519,19100,48439,19100,7451858
520,12420,48453,12420,2173804
521,26420,48473,26420,6979613
522,12420,48491,12420,2173804
523,41700,48493,41700,2510211
524,19100,48497,19100,7451858
525,36260,49003,36260,672948
526,36260,49011,36260,672948
527,39340,49023,39340,633129
528,36260,49029,36260,672948
529,41620,49035,41620,1215955
530,41620,49045,41620,1215955
531,39340,49049,39340,633129
532,36260,49057,36260,672948
533,40060,51007,40060,1282067
534,47900,51013,47900,6250309
535,40060,51033,40060,1282067
536,40060,51036,40060,1282067
537,40060,51041,40060,1282067
538,47900,51043,47900,6250309
539,47900,51047,47900,6250309
540,40060,51053,40060,1282067
541,47900,51059,47900,6250309
542,47900,51061,47900,6250309
543,47260,51073,47260,1768956
544,40060,51075,40060,1282067
545,40060,51085,40060,1282067
546,40060,51087,40060,1282067
547,47260,51093,47260,1768956
548,47260,51095,47260,1768956
549,40060,51101,40060,1282067
550,47900,51107,47900,6250309
551,47260,51115,47260,1768956
552,40060,51127,40060,1282067
553,40060,51145,40060,1282067
554,40060,51149,40060,1282067
555,47900,51153,47900,6250309
556,47900,51157,47900,6250309
557,47900,51177,47900,6250309
558,47900,51179,47900,6250309
559,40060,51183,40060,1282067
560,47900,51187,47900,6250309
561,47260,51199,47260,1768956
562,47900,51510,47900,6250309
563,47260,51550,47260,1768956
564,40060,51570,40060,1282067
565,47900,51600,47900,6250309
566,47900,51610,47900,6250309
567,47900,51630,47900,6250309
568,47260,51650,47260,1768956
569,40060,51670,40060,1282067
570,47900,51683,47900,6250309
571,47900,51685,47900,6250309
572,47260,51700,47260,1768956
573,47260,51710,47260,1768956
574,40060,51730,40060,1282067
575,47260,51735,47260,1768956
576,47260,51740,47260,1768956
577,40060,51760,40060,1282067
578,47260,51800,47260,1768956
579,47260,51810,47260,1768956
580,47260,51830,47260,1768956
581,38900,53011,38900,2472774
582,42660,53033,42660,3928498
583,44060,53051,44060,558635
584,42660,53053,42660,3928498
585,38900,53059,38900,2472774
586,42660,53061,42660,3928498
587,44060,53063,44060,558635
588,44060,53065,44060,558635
589,47900,54037,47900,6250309
590,31540,55021,31540,660212
591,31540,55025,31540,660212
592,31540,55045,31540,660212
593,31540,55049,31540,660212
594,16980,55059,16980,9478801
595,33340,55079,33340,1576525
596,33340,55089,33340,1576525
597,33460,55093,33460,3605450
598,33460,55109,33460,3605450
599,33340,55131,33340,1576525
600,33340,55133,33340,1576525
