msa,pop
36340,50096
37980,4206741
38300,2443921
39060,143259
39740,429989
41260,30703
42380,59971
42540,567887
42780,39711
43740,73255
44300,158041
44980,109004
47620,38174
48700,113570
49620,459312
39300,1095371
12260,198457
16700,817756
16740,421641
17900,839868
22500,199675
23500,56299
24860,945301
24940,93681
25940,222781
34680,64200
34820,368937
35140,38121
36700,83531
42860,79566
43900,365086
44940,104853
10100,42112
15100,34968
26700,19279
33580,25779
38180,20744
39660,151064
43580,16916
43620,283479
43940,26574
46820,15133
47980,28556
49460,23379
11940,67211
16860,416332
17300,241816
17420,127445
18260,143819
18900,62529
20540,36681
22190,35617
24620,70919
27180,180844
27740,208934
28700,217139
28940,919553
29980,44901
30280,35276
32280,32959
32660,41587
32820,1026187
34100,120765
34980,2043713
35460,36503
37540,32345
42940,98802
43180,51291
46100,65551
46460,30570
49010,43478
10180,178244
10860,45850
11100,270207
11380,18518
11980,83658
12420,2357497
13060,36274
13140,396058
13300,31000
13700,33127
14300,36525
14420,20413
14780,36156
15180,423192
15220,38294
17780,273280
18580,446797
18620,53735
19100,7807555
19620,47647
20300,21234
20580,57770
20900,41651
21340,869606
23240,27202
23620,42473
24180,64198
25820,18487
26420,7274714
26660,78292
27380,51143
28500,53166
28660,485850
28780,30629
29700,267731
30980,288921
31180,354782
31260,86791
32580,880921
33260,176726
33420,28920
34420,55950
34860,64897
36220,163206
37300,57825
37420,21916
37580,62042
38380,37541
38920,19921
39700,20218
40100,65809
41660,120830
41700,2612802
43300,139988
43660,16633
44500,43244
44860,37351
45020,14565
45500,92321
45880,13219
46340,238014
46620,24810
46900,12712
47020,98377
47380,299217
48660,148978
49820,13855
14940,59725
16260,60201
21740,2588
25720,78517
30860,137031
36260,645510
39220,20446
39340,695895
41100,189827
41620,1261337
46860,36458
12740,59958
13540,37312
14710,45913
15540,226603
30150,87562
40860,60484
13980,181605
14140,39933
16820,222937
19260,102387
25500,136231
28700,92441
29470,37208
31340,262716
32300,63949
40060,1327321
40220,314661
44420,126052
47260,1731798
47900,3070950
49020,121336
10140,76397
13380,228432
14740,276581
16500,83925
21260,44736
28420,307900
30300,22424
31020,111539
34180,100428
34580,130407
36020,86747
36500,296640
